시도,구시군,읍면동,투표소명,증거수준,실제부족확인,투표중단확인,선거종류,선거구코드,선거구명,당선자,낙선자,표차,검토등급,위치출처URL,결과출처URL,해석제한
서울,송파구,잠실4동,잠실4동 제5투표소,실제중단확인,True,True,기초의원,6112401,송파구가선거구,김서윤,윤영한,102,최우선확인,https://www.donga.com/news/Politics/article/all/20260603/134042934/1?gid=134043412&regdate=&srev=1,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08,표차가 작다는 사실만으로 투표용지 부족이 선거 결과에 영향을 미쳤다고 단정할 수 없음
서울,광진구,구의3동,구의3동 제6투표소,실제부족확인,True,,기초의원,6110503,광진구다선거구,김강산,이정열,73,우선조사,https://amp.seoul.co.kr/news/politics/local-election2026/2026/06/03/20260603500165?cp=seoul&wlog_tag4=mo_rel_3,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08,표차가 작다는 사실만으로 투표용지 부족이 선거 결과에 영향을 미쳤다고 단정할 수 없음
서울,송파구,위례동,위례동 제5투표소,실제부족확인,True,,광역의원,5112405,송파구제5선거구,정진철,유정인,773,검토,https://amp.seoul.co.kr/news/politics/local-election2026/2026/06/03/20260603500165?cp=seoul&wlog_tag4=mo_rel_3,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08,표차가 작다는 사실만으로 투표용지 부족이 선거 결과에 영향을 미쳤다고 단정할 수 없음
서울,송파구,위례동,위례동 제5투표소,실제부족확인,True,,기초의원,6112408,송파구아선거구,박지선,윤정식,928,검토,https://amp.seoul.co.kr/news/politics/local-election2026/2026/06/03/20260603500165?cp=seoul&wlog_tag4=mo_rel_3,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08,표차가 작다는 사실만으로 투표용지 부족이 선거 결과에 영향을 미쳤다고 단정할 수 없음
서울,서초구,반포4동,반포4동 제3투표소,실제부족확인,True,,기초의원,6112201,서초구가선거구,정지광,김남식,1017,참고,https://www.fnnews.com/news/202606040629007170,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08,표차가 작다는 사실만으로 투표용지 부족이 선거 결과에 영향을 미쳤다고 단정할 수 없음
서울,서초구,잠원동,잠원동 제7투표소,실제부족확인,True,,기초의원,6112201,서초구가선거구,정지광,김남식,1017,참고,https://www.newdaily.co.kr/site/data/html/2026/06/03/2026060300128.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08,표차가 작다는 사실만으로 투표용지 부족이 선거 결과에 영향을 미쳤다고 단정할 수 없음
서울,송파구,문정2동,문정2동 제2투표소,실제부족확인,True,,기초의원,6112404,송파구라선거구,유미현,배신정,1745,참고,https://amp.seoul.co.kr/news/politics/local-election2026/2026/06/03/20260603500165?cp=seoul&wlog_tag4=mo_rel_3,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08,표차가 작다는 사실만으로 투표용지 부족이 선거 결과에 영향을 미쳤다고 단정할 수 없음
서울,광진구,구의3동,구의3동 제6투표소,실제부족확인,True,,광역의원,5110503,광진구제3선거구,김영옥,이상엽,2157,참고,https://amp.seoul.co.kr/news/politics/local-election2026/2026/06/03/20260603500165?cp=seoul&wlog_tag4=mo_rel_3,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08,표차가 작다는 사실만으로 투표용지 부족이 선거 결과에 영향을 미쳤다고 단정할 수 없음
서울,강남구,청담동,청담동 제4투표소,실제부족확인,True,,기초의원,6112302,강남구나선거구,이종원,황영각,2602,참고,https://amp.seoul.co.kr/news/politics/local-election2026/2026/06/03/20260603500165?cp=seoul&wlog_tag4=mo_rel_3,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08,표차가 작다는 사실만으로 투표용지 부족이 선거 결과에 영향을 미쳤다고 단정할 수 없음
서울,송파구,잠실2동,잠실2동 제6투표소,실제부족확인,True,,기초의원,6112405,송파구마선거구,이원우,이성자,2950,참고,https://www.fnnews.com/news/202606040629007170,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08,표차가 작다는 사실만으로 투표용지 부족이 선거 결과에 영향을 미쳤다고 단정할 수 없음
