시도,구시군,선거종류,선거구코드,선거구명,당선인수,경계당선자,경계당선자득표,첫낙선자,첫낙선자득표,당선권경계표차,추가송부투표소수,공개투표소명수,확인된중단수,검토등급,해석제한,출처URL
강원특별자치도,강릉시,광역의원,5520301,강릉시제1선거구,1,박호균,13383,박갑용,12205,1178,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,강릉시,광역의원,5520302,강릉시제2선거구,1,김남희,12521,심오섭,12000,521,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,강릉시,광역의원,5520303,강릉시제3선거구,1,반태연,10652,김용래,9662,990,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,강릉시,광역의원,5520304,강릉시제4선거구,1,차주철,10686,고인규,10012,674,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,강릉시,광역의원,5520305,강릉시제5선거구,1,최승순,9892,김정래,9329,563,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,강릉시,기초의원,6520302,강릉시나선거구,2,함은선,3105,김은숙,2470,635,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,강릉시,기초의원,6520303,강릉시다선거구,3,유현민,4935,윤희주,3624,1311,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,강릉시,기초의원,6520304,강릉시라선거구,3,김홍수,4477,최현선,3565,912,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,강릉시,기초의원,6520305,강릉시마선거구,2,허병관,3604,정규민,2191,1413,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,강릉시,기초의원,6520306,강릉시바선거구,2,김태완,3317,김문섭,2302,1015,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,강릉시,기초의원,6520307,강릉시사선거구,3,박경난,4241,권순민,3384,857,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,고성군,광역의원,5520901,고성군선거구,1,이지영,6719,용광열,6578,141,0,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,고성군,기초의원,6520901,고성군가선거구,3,김봉룡,1544,장길현,1235,309,0,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,고성군,기초의원,6520902,고성군나선거구,3,김용주,965,최태욱,947,18,0,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,동해시,광역의원,5520401,동해시제1선거구,1,이동호,12089,안성준,9269,2820,0,0,0,참고,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,동해시,광역의원,5520402,동해시제2선거구,1,정동수,12737,김형원,12032,705,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,동해시,기초의원,6520401,동해시가선거구,3,최이순,3226,김지은,3102,124,0,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,동해시,기초의원,6520402,동해시나선거구,4,전종규,3280,김향정,3092,188,0,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,삼척시,광역의원,5520501,삼척시제1선거구,1,조성운,10569,김혁준,9604,965,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,삼척시,광역의원,5520502,삼척시제2선거구,1,정연철,10804,최병석,5500,5304,0,0,0,참고,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,삼척시,기초의원,6520501,삼척시가선거구,4,김희창,2830,김재구,2809,21,0,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,삼척시,기초의원,6520502,삼척시나선거구,3,김창수,3517,서종협,1762,1755,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,속초시,광역의원,5520801,속초시제1선거구,1,최종현,10458,유정수,8718,1740,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,속초시,광역의원,5520802,속초시제2선거구,1,강정호,13340,신선익,10588,2752,0,0,0,참고,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,속초시,기초의원,6520801,속초시가선거구,3,권덕수,4163,남인영,2991,1172,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,속초시,기초의원,6520802,속초시나선거구,3,유인숙,4956,김용태,3845,1111,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,양구군,광역의원,5521701,양구군선거구,1,이병구,4977,곽원일,4342,635,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,양구군,기초의원,6521701,양구군가선거구,3,신철우,1666,이상철,904,762,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,양구군,기초의원,6521702,양구군나선거구,3,정귀수,1003,우동화,764,239,0,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,양양군,광역의원,5521001,양양군선거구,1,이종석,10107,김동진,6930,3177,0,0,0,참고,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,양양군,기초의원,6521001,양양군가선거구,3,고정순,2463,이명숙,1928,535,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,양양군,기초의원,6521002,양양군나선거구,3,고교연,750,박동철,589,161,0,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,영월군,광역의원,5521401,영월군제1선거구,1,정대옥,6351,손경희,5341,1010,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,영월군,광역의원,5521402,영월군제2선거구,1,김학조,4765,유영일,4113,652,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,영월군,기초의원,6521401,영월군가선거구,3,김상태,2290,심재섭,1969,321,0,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,영월군,기초의원,6521402,영월군나선거구,3,신준용,2399,이정복,1658,741,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,원주시,광역의원,5520201,원주시제1선거구,1,박길선,5612,정재선,5356,256,0,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,원주시,광역의원,5520202,원주시제2선거구,1,용정순,11930,김희도,7221,4709,0,0,0,참고,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,원주시,광역의원,5520203,원주시제3선거구,1,최재민,12136,권순성,10906,1230,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,원주시,광역의원,5520204,원주시제4선거구,1,정지욱,10867,김기홍,10456,411,0,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,원주시,광역의원,5520205,원주시제5선거구,1,박윤미,11277,최원병,7497,3780,0,0,0,참고,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
강원특별자치도,원주시,광역의원,5520206,원주시제6선거구,1,하석균,11252,신재섭,10176,1076,0,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
