시도코드,시도,구시군코드,구시군,읍면동명,투표구번호,ps_name_key,ps_name_key_alt,placeName,addr,확정선거인수,확정_50pct_기준장수,확정_60pct_기준장수,확정_70pct_기준장수,확정_선거인수_전국분위,확정_선거인수_구시군분위,확정_선거인수_동분위,동_실제투표수,추정_투표소비율,추정_선거일투표수,추정_50pct초과여부,추정_배부기준대비초과량,추정값_주의,라벨_부족확인,라벨_투표중단,라벨_부족구시군
1100,서울특별시,1101,종로구,청운효자동,제1투,청운효자동제1투,청운효자동투표소,"청운초등학교(2층, 체육관)",서울특별시 종로구 자하문로 105 (청운동),3198.0,1599,1918,2238,0.5124,0.4737,0.6667,3659,0.335,1226.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
1100,서울특별시,1101,종로구,청운효자동,제2투,청운효자동제2투,,"서울농학교(1층, 대강당)",서울특별시 종로구 필운대로 103 (신교동),2999.0,1499,1799,2099,0.4595,0.4211,0.3333,3659,0.3141,1149.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
1100,서울특별시,1101,종로구,청운효자동,제3투,청운효자동제3투,,"종로구보건소(1층, 옥인사랑)",서울특별시 종로구 자하문로19길 36 (옥인동),3350.0,1675,2010,2345,0.5545,0.6316,1.0,3659,0.3509,1284.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
1100,서울특별시,1101,종로구,사직동,제1투,사직동제1투,사직동투표소,"서울생활문화지원센터 체부(1층, 체부홀)",서울특별시 종로구 자하문로1나길 3-2 (체부동),2546.0,1273,1527,1782,0.3434,0.2632,0.5,3019,0.3156,953.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
1100,서울특별시,1101,종로구,사직동,제2투,사직동제2투,,"사직동주민센터(3층, 강당)",서울특별시 종로구 경희궁1길 15 (신문로2가),5521.0,2760,3312,3864,0.9596,1.0,1.0,3019,0.6844,2066.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
1100,서울특별시,1101,종로구,무악동,제1투,무악동제1투,무악동투표소,"종로노인종합복지관 무악센터(5층, 강당)",서울특별시 종로구 통일로14길 30 (무악동),2856.0,1428,1713,1999,0.4212,0.3684,0.5,2751,0.4365,1201.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
1100,서울특별시,1101,종로구,무악동,제2투,무악동제2투,,"무악동주민센터(4층, 강당)",서울특별시 종로구 통일로14길 36 (무악동),3687.0,1843,2212,2580,0.656,0.8947,1.0,2751,0.5635,1550.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
1100,서울특별시,1101,종로구,교남동,제1투,교남동제1투,교남동투표소,"교남동주민센터(4층, 대강당)",서울특별시 종로구 송월길 154 (행촌동),2226.0,1113,1335,1558,0.2758,0.1579,0.6667,3501,0.2684,940.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
1100,서울특별시,1101,종로구,교남동,제2투,교남동제2투,,"교남동주민센터(2층, 소회의실)",서울특별시 종로구 송월길 154 (행촌동),2209.0,1104,1325,1546,0.2718,0.1053,0.3333,3501,0.2664,933.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
1100,서울특별시,1101,종로구,교남동,제3투,교남동제3투,,"경희궁자이2단지아파트 주민공동시설(지하1층, 207동)",서울특별시 종로구 송월길 99 (홍파동),3858.0,1929,2314,2700,0.7051,0.9474,1.0,3501,0.4652,1629.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
1100,서울특별시,1101,종로구,종로1·2·3·4가동,제1투,종로1·2·3·4가동제1투,종로1·2·3·4가동투표소,"교동초등학교(1층, 로비)",서울특별시 종로구 삼일대로 446 (경운동),2748.0,1374,1648,1923,0.3932,0.3158,0.5,1936,0.4338,840.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
1100,서울특별시,1101,종로구,종로1·2·3·4가동,제2투,종로1·2·3·4가동제2투,,"종로1·2·3·4가동주민센터(3층, 강당)",서울특별시 종로구 삼일대로30길 47 (익선동),3587.0,1793,2152,2510,0.6271,0.7895,1.0,1936,0.5662,1096.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
1100,서울특별시,1101,종로구,이화동,제1투,이화동제1투,이화동투표소,"상명대학교 예술디자인센터(1층, 갤러리)",서울특별시 종로구 동숭길 133 (동숭동),3374.0,1687,2024,2361,0.5616,0.6842,1.0,2346,0.5029,1180.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
