num,sgId,psName,sdName,wiwName,emdName,placeName,addr,floor
1,20260603,신사동제1투,서울특별시,강남구,신사동,"신구초등학교(1층, 본관로비)",서울특별시 강남구 압구정로18길 28 (신사동),1층
2,20260603,신사동제2투,서울특별시,강남구,신사동,"신사동주민센터(4층, 회의실)",서울특별시 강남구 압구정로 128 (신사동),3층이상
3,20260603,신사동제3투,서울특별시,강남구,신사동,"구립신사어린이집(지하1층, 주차장)",서울특별시 강남구 도산대로15길 26 (신사동),지하
4,20260603,신사동제4투,서울특별시,강남구,신사동,"현대고등학교(1층, 다목적실)",서울특별시 강남구 압구정로 127 (압구정동),1층
5,20260603,신사동제5투,서울특별시,강남구,신사동,"신사중학교(1층, 학생식당)",서울특별시 강남구 압구정로 123 (압구정동),1층
6,20260603,논현1동제1투,서울특별시,강남구,논현1동,"논현1동주민센터(2층, 회의실)",서울특별시 강남구 학동로20길 25 (논현동),2층
7,20260603,논현1동제2투,서울특별시,강남구,논현1동,"논현초등학교 복합화시설(3층, 체육관)",서울특별시 강남구 강남대로120길 33 (논현동),3층이상
8,20260603,논현1동제3투,서울특별시,강남구,논현1동,"국민연금공단 서울남부지역본부(지하1층, 회의실)",서울특별시 강남구 도산대로 128 (논현동),지하
9,20260603,논현1동제4투,서울특별시,강남구,논현1동,"논현초등학교 복합화시설(3층, 체육관)",서울특별시 강남구 강남대로120길 33 (논현동),3층이상
10,20260603,논현1동제5투,서울특별시,강남구,논현1동,세심정데이케어센터(지하1층),서울특별시 강남구 논현로115길 35-1 (논현동),지하
11,20260603,논현2동제1투,서울특별시,강남구,논현2동,"논현2동주민센터(1층, 회의실)",서울특별시 강남구 학동로43길 17 (논현동),1층
12,20260603,논현2동제2투,서울특별시,강남구,논현2동,"논현2동주민센터(2층, 로비)",서울특별시 강남구 학동로43길 17 (논현동),2층
13,20260603,논현2동제3투,서울특별시,강남구,논현2동,"언북중학교(1층, 동아리실)",서울특별시 강남구 도산대로38길 27 (논현동),1층
14,20260603,논현2동제4투,서울특별시,강남구,논현2동,"학동초등학교(2층, 아우름관)",서울특별시 강남구 선릉로115길 42 (논현동),2층
15,20260603,논현2동제5투,서울특별시,강남구,논현2동,"서울논현동우체국(지하1층, 우편공중실)",서울특별시 강남구 학동로 212 (논현동),지하
16,20260603,압구정동제1투,서울특별시,강남구,압구정동,"압구정고등학교(1층, 교과교실1)",서울특별시 강남구 압구정로39길 20 (압구정동),1층
17,20260603,압구정동제2투,서울특별시,강남구,압구정동,동호경로당(1층),"서울특별시 강남구 압구정로29길 57 (압구정동, 현대아파트)",1층
18,20260603,압구정동제3투,서울특별시,강남구,압구정동,"압구정초등학교(1층, AI교실)",서울특별시 강남구 압구정로39길 29 (압구정동),1층
19,20260603,압구정동제4투,서울특별시,강남구,압구정동,"신구중학교(1층, 체육실)",서울특별시 강남구 압구정로36길 17 (신사동),1층
20,20260603,압구정동제5투,서울특별시,강남구,압구정동,한양경로당(1층),"서울특별시 강남구 압구정로 313 (압구정동, 한양아파트)",1층
21,20260603,압구정동제6투,서울특별시,강남구,압구정동,청담중학교 체육관(1층),서울특별시 강남구 압구정로61길 36 (청담동),1층
22,20260603,압구정동제7투,서울특별시,강남구,압구정동,"압구정 평생학습관(3층, 강당)",서울특별시 강남구 언주로172길 26 (신사동),3층이상
23,20260603,청담동제1투,서울특별시,강남구,청담동,"청담동주민센터(6층, 강당)",서울특별시 강남구 압구정로79길 26 (청담동),3층이상
24,20260603,청담동제2투,서울특별시,강남구,청담동,"청담초등학교 해솔관(2층, 다목적체육관)",서울특별시 강남구 압구정로71길 9 (청담동),2층
25,20260603,청담동제3투,서울특별시,강남구,청담동,"강남청소년센터(2층, 체력단련실)",서울특별시 강남구 영동대로131길 26 (청담동),2층
26,20260603,청담동제4투,서울특별시,강남구,청담동,"청담르엘아파트(1층, 르엘카페)","서울특별시 강남구 학동로 607 (청담동, 청담르엘)",1층
27,20260603,청담동제5투,서울특별시,강남구,청담동,"청담평생학습관(지하1층, 건강교실)",서울특별시 강남구 학동로67길 11 (청담동),지하
28,20260603,청담동제6투,서울특별시,강남구,청담동,"언북초등학교 후관(1층, 과학실1)",서울특별시 강남구 삼성로135길 42 (청담동),1층
29,20260603,청담동제7투,서울특별시,강남구,청담동,청담경로당(1층),서울특별시 강남구 도산대로67길 15 (청담동),1층
30,20260603,삼성1동제1투,서울특별시,강남구,삼성1동,"강남노인종합복지관(강남구청 삼성로 별관)(지하1층, 식당)",서울특별시 강남구 삼성로 628 (삼성동),지하
31,20260603,삼성1동제2투,서울특별시,강남구,삼성1동,"봉은중학교(1층, 협력종합예술실)",서울특별시 강남구 영동대로128길 59 (삼성동),1층
32,20260603,삼성1동제3투,서울특별시,강남구,삼성1동,"삼성1문화센터(1층, 탁구실)",서울특별시 강남구 봉은사로 616 (삼성동),1층
33,20260603,삼성2동제1투,서울특별시,강남구,삼성2동,"삼성2동주민센터(3층, 회의실)",서울특별시 강남구 봉은사로 419 (삼성동),3층이상
34,20260603,삼성2동제2투,서울특별시,강남구,삼성2동,"강남구보건소(1층, 로비)",서울특별시 강남구 선릉로 668 (삼성동),1층
35,20260603,삼성2동제3투,서울특별시,강남구,삼성2동,언주중학교 체육관(1층),서울특별시 강남구 선릉로116길 57 (삼성동),1층
36,20260603,삼성2동제4투,서울특별시,강남구,삼성2동,"봉전경로당(1층, 할머니방)",서울특별시 강남구 봉은사로68길 39-3 (삼성동),1층
37,20260603,삼성2동제5투,서울특별시,강남구,삼성2동,"강남구청 본관(1층, 로비)",서울특별시 강남구 학동로 426 (삼성동),1층
38,20260603,대치1동제1투,서울특별시,강남구,대치1동,"단국대부속고등학교(1층, 체육관)",서울특별시 강남구 도곡로64길 21 (대치동),1층
39,20260603,대치1동제2투,서울특별시,강남구,대치1동,"단국대부속중학교(1층, 다목적실)",서울특별시 강남구 도곡로64길 21 (대치동),1층
40,20260603,대치1동제3투,서울특별시,강남구,대치1동,"대치초등학교 (1층, 체육관)",서울특별시 강남구 양재천로 363 (대치동),1층
41,20260603,대치1동제4투,서울특별시,강남구,대치1동,"대청중학교 본관(1층, 꿈꾸는 카페)",서울특별시 강남구 양재천로 321 (대치동),1층
42,20260603,대치1동제5투,서울특별시,강남구,대치1동,"래미안대치팰리스 커뮤니티센터(1층, 연회장)","서울특별시 강남구 삼성로51길 37 (대치동, 래미안 대치 팰리스)",1층
43,20260603,대치2동제1투,서울특별시,강남구,대치2동,"대치평생학습관(2층, 강의실1)",서울특별시 강남구 영동대로57길 7 (대치동),2층
44,20260603,대치2동제2투,서울특별시,강남구,대치2동,"은마아파트 관리동(1층, 경로당)","서울특별시 강남구 삼성로 212 (대치동, 은마아파트)",1층
45,20260603,대치2동제3투,서울특별시,강남구,대치2동,"강남구민회관(1층, 홍보전시실)",서울특별시 강남구 삼성로 154 (대치동),1층
46,20260603,대치2동제4투,서울특별시,강남구,대치2동,"대곡초등학교(1층, 대곡달빛관1)",서울특별시 강남구 남부순환로 3022 (대치동),1층
47,20260603,대치2동제5투,서울특별시,강남구,대치2동,"대곡초등학교(1층, 영어체험실)",서울특별시 강남구 남부순환로 3022 (대치동),1층
48,20260603,대치2동제6투,서울특별시,강남구,대치2동,"대치평생학습관(4층, 체육교실)",서울특별시 강남구 영동대로57길 7 (대치동),3층이상
49,20260603,대치2동제7투,서울특별시,강남구,대치2동,"대치2동주민센터(1층, 회의실)",서울특별시 강남구 영동대로65길 24 (대치동),1층
50,20260603,대치2동제8투,서울특별시,강남구,대치2동,"휘문고등학교(1층, 강당)",서울특별시 강남구 역삼로 541 (대치동),1층
51,20260603,대치4동제1투,서울특별시,강남구,대치4동,"대치4동주민센터(2층, 민원실)",서울특별시 강남구 도곡로77길 23 (대치동),2층
52,20260603,대치4동제2투,서울특별시,강남구,대치4동,"도곡초등학교 꿈누리관(3층, 체육관 <가>)",서울특별시 강남구 선릉로64길 33 (대치동),3층이상
53,20260603,대치4동제3투,서울특별시,강남구,대치4동,"대치4동주민센터(5층, 다목적홀)",서울특별시 강남구 도곡로77길 23 (대치동),3층이상
54,20260603,대치4동제4투,서울특별시,강남구,대치4동,"도곡초등학교 꿈누리관(3층, 체육관 <나>)",서울특별시 강남구 선릉로64길 33 (대치동),3층이상
55,20260603,역삼1동제1투,서울특별시,강남구,역삼1동,"충현복지관(지하2층, 강당)",서울특별시 강남구 논현로98길 16 (역삼동),지하
56,20260603,역삼1동제2투,서울특별시,강남구,역삼1동,"국립어린이청소년도서관(1층, 로비)",서울특별시 강남구 테헤란로7길 21 (역삼동),1층
