구시군,공식중단순번,읍면동,투표소명,위치연결상태,증거수준,사건표현,출처주체,출처URL,비고
송파구,1/12,잠실2동,잠실2동 제6투표소,언론보도상중단위치연결,media_reported_shutdown,투표 중단,언론 현장 취재,https://www.mk.co.kr/news/politics/12064878,기사 사진 설명과 본문에서 투표 중단을 명시
송파구,2/12,잠실4동,잠실4동 제5투표소,언론보도상중단위치연결,media_reported_shutdown,투표 일시 중단,언론 현장 취재,https://www.donga.com/news/Politics/article/all/20260603/134042934/1,"오후 4시 중단, 오후 5시 10분 재개를 명시"
송파구,3/12,잠실7동,잠실7동 제2투표소,언론보도상중단위치연결,media_reported_shutdown,투표 중단,언론 현장 취재,https://www.seoul.co.kr/news/politics/local-election2026/2026/06/04/20260604001003,기사 사진 설명에서 투표 중단 및 오후 10시까지 연장을 명시
송파구,4/12,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
송파구,5/12,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
송파구,6/12,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
송파구,7/12,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
송파구,8/12,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
송파구,9/12,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
송파구,10/12,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
송파구,11/12,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
송파구,12/12,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
강남구,1/4,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
강남구,2/4,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
강남구,3/4,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
강남구,4/4,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
광진구,1/2,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
광진구,2/2,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
서초구,1/1,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
연수구,1/3,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
연수구,2/3,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
연수구,3/3,,,위치미공개,official_gu_count_only,,중앙선관위 구별 집계,https://news.sbs.co.kr/news/endPage.do?news_id=N1008597087,중앙선관위 투표소명 명단 미공개
