num,sgId,psName,sdName,wiwName,emdName,placeName,addr,floor
1,20220601,가락1동제1투,서울특별시,송파구,가락1동,"가락1동주민센터 (3층, 다목적실)",서울특별시 송파구 양재대로 925 (가락동),3층이상
2,20220601,풍납2동제1투,서울특별시,송파구,풍납2동,"풍납종합사회복지관(지하1층, 강당)",서울특별시 송파구 강동대로3길 5 (풍납동),지하
3,20220601,가락본동제1투,서울특별시,송파구,가락본동,"가락본동 주민센터 (1층, 민원실)",서울특별시 송파구 송파대로28길 39 (가락동),1층
4,20220601,거여1동제1투,서울특별시,송파구,거여1동,"거여1동주민센터(1층, 민원실)",서울특별시 송파구 오금로53길 32 (거여동),1층
5,20220601,거여2동제1투,서울특별시,송파구,거여2동,"거여2동주민센터(3층, 강당)",서울특별시 송파구 거마로2길 19 (거여동),3층이상
6,20220601,마천1동제1투,서울특별시,송파구,마천1동,"마천1동주민센터(지하1층, 탁구장)",서울특별시 송파구 마천로 303 (마천동),지하
7,20220601,마천2동제1투,서울특별시,송파구,마천2동,"마천2동주민센터 (2층, 강의실)",서울특별시 송파구 마천로 287 (마천동),2층
8,20220601,문정1동제1투,서울특별시,송파구,문정1동,"문정1동주민센터(1층, 민원실)",서울특별시 송파구 동남로 116 (문정동),1층
9,20220601,문정2동제1투,서울특별시,송파구,문정2동,"송파청소년센터 (1층, 로비)",서울특별시 송파구 중대로4길 4 (문정동),1층
10,20220601,방이1동제1투,서울특별시,송파구,방이1동,"방이1동주민센터 (2층, 행복누리방)",서울특별시 송파구 위례성대로16길 22 (방이동),2층
11,20220601,방이2동제1투,서울특별시,송파구,방이2동,"방이2동주민센터(2층, 회의실)","서울특별시 송파구 올림픽로34길 5-13 (잠실벨솔레, 방이동)",2층
12,20220601,삼전동제1투,서울특별시,송파구,삼전동,"삼전동주민센터 (2층, 열람실)",서울특별시 송파구 백제고분로 236 (삼전동),2층
13,20220601,석촌동제1투,서울특별시,송파구,석촌동,"석촌동주민센터 (3층, 주민사랑방)",서울특별시 송파구 백제고분로37길 16 (석촌동),3층이상
14,20220601,송파1동제1투,서울특별시,송파구,송파1동,"송파1동주민센터(3층, 다목적회의실)",서울특별시 송파구 백제고분로 392 (송파동),3층이상
15,20220601,송파2동제1투,서울특별시,송파구,송파2동,"송파2동주민센터 (지하1층, 헬스장)",서울특별시 송파구 송이로 32 (송파동),지하
16,20220601,오금동제1투,서울특별시,송파구,오금동,"송파어린이문화회관 (1층, 로비)",서울특별시 송파구 중대로 235 (오금동),1층
17,20220601,오륜동제1투,서울특별시,송파구,오륜동,"오륜동주민센터 (2층, 다목적실)",서울특별시 송파구 양재대로 1232 (방이동),2층
18,20220601,위례동제1투,서울특별시,송파구,위례동,"위례동 주민센터 (3층, 다목적실)",서울특별시 송파구 위례광장로 210 (장지동),3층이상
19,20220601,잠실2동제1투,서울특별시,송파구,잠실2동,"잠실2동주민센터 (3층, 다목적실)",서울특별시 송파구 올림픽로 159 (잠실동),3층이상
20,20220601,잠실3동제1투,서울특별시,송파구,잠실3동,"잠실3동주민센터 (2층, 다목적방)",서울특별시 송파구 잠실로 51-31 (잠실동),2층
21,20220601,잠실4동제1투,서울특별시,송파구,잠실4동,"잠실4동주민센터(3층, 다목적실)",서울특별시 송파구 올림픽로35길 16 (신천동),3층이상
22,20220601,잠실6동제1투,서울특별시,송파구,잠실6동,"잠실6동주민센터 (1층, 생활체육교실)",서울특별시 송파구 올림픽로35길 120 (신천동),1층
23,20220601,잠실7동제1투,서울특별시,송파구,잠실7동,"송파문화원(1층, 강당)",서울특별시 송파구 올림픽로 44 (잠실동),1층
24,20220601,잠실본동제1투,서울특별시,송파구,잠실본동,"잠실본동주민센터(5층, 다목적실)",서울특별시 송파구 백제고분로 145 (잠실동),3층이상
25,20220601,장지동제1투,서울특별시,송파구,장지동,"장지동주민센터(1층, 주민사랑방)",서울특별시 송파구 새말로19길 6 (문정동),1층
26,20220601,풍납1동제1투,서울특별시,송파구,풍납1동,"풍납1동주민센터(지층, 다목적방)",서울특별시 송파구 천호대로152길 7 (풍납동),지하
27,20220601,가락2동제1투,서울특별시,송파구,가락2동,"가락2동주민센터 (2층, 다목적실)",서울특별시 송파구 중대로20길 6 (가락동),2층
