num,sgId,psName,sdName,wiwName,emdName,placeName,addr,floor,polling_source_year,normalized_psName,voters_2026,election_day_eligible_2026,election_day_votes_2026,election_day_turnout_2026,polling_place_count_2022,estimated_voters_per_polling_place,estimated_election_day_votes_per_polling_place,demand_source,estimated_ballots_m1,expected_election_day_votes_m2_proxy,투표소명,실제부족여부,투표중단여부,출처URL,confirmed_shortage_named,risk_ratio,risk_grade,is_fact
1,20260603,풍납1동제1투,서울특별시,송파구,풍납1동,"풍납1동주민센터(지하1층, 다목적방)",서울특별시 송파구 천호대로152길 7 (풍납동),지하,2026,풍납1동제1투,9510,7066,3514,0.4973110670818002,3,3170.0,1171.3333333333333,2026_actual,1500,1171.3333333333333,,,,,False,0.7809,GREEN,False
2,20260603,풍납1동제2투,서울특별시,송파구,풍납1동,"서울풍납초등학교(1층, 한울채)",서울특별시 송파구 풍성로 43 (풍납동),1층,2026,풍납1동제2투,9510,7066,3514,0.4973110670818002,3,3170.0,1171.3333333333333,2026_actual,1500,1171.3333333333333,,,,,False,0.7809,GREEN,False
3,20260603,풍납1동제3투,서울특별시,송파구,풍납1동,"솔바람복지센터(1층, 해마루실)",서울특별시 송파구 풍성로5길 16 (풍납동),1층,2026,풍납1동제3투,9510,7066,3514,0.4973110670818002,3,3170.0,1171.3333333333333,2026_actual,1500,1171.3333333333333,,,,,False,0.7809,GREEN,False
4,20260603,풍납2동제1투,서울특별시,송파구,풍납2동,"풍납종합사회복지관(지하1층, 강당)",서울특별시 송파구 강동대로3길 5 (풍납동),지하,2026,풍납2동제1투,18706,14392,7652,0.5316842690383546,6,3117.6666666666665,1275.3333333333333,2026_actual,1500,1275.3333333333333,,,,,False,0.8502,GREEN,False
5,20260603,풍납2동제2투,서울특별시,송파구,풍납2동,"풍납2동주민센터(지하1층, 다목적실)",서울특별시 송파구 토성로 52 (풍납동),지하,2026,풍납2동제2투,18706,14392,7652,0.5316842690383546,6,3117.6666666666665,1275.3333333333333,2026_actual,1500,1275.3333333333333,,,,,False,0.8502,GREEN,False
6,20260603,풍납2동제3투,서울특별시,송파구,풍납2동,"영파여자고등학교(1층, 보건교육실)",서울특별시 송파구 올림픽로 565 (풍납동),1층,2026,풍납2동제3투,18706,14392,7652,0.5316842690383546,6,3117.6666666666665,1275.3333333333333,2026_actual,1500,1275.3333333333333,,,,,False,0.8502,GREEN,False
7,20260603,풍납2동제4투,서울특별시,송파구,풍납2동,"토성초등학교(2층, 체육관)",서울특별시 송파구 풍성로20길 44 (풍납동),2층,2026,풍납2동제4투,18706,14392,7652,0.5316842690383546,6,3117.6666666666665,1275.3333333333333,2026_actual,1500,1275.3333333333333,,,,,False,0.8502,GREEN,False
8,20260603,풍납2동제5투,서울특별시,송파구,풍납2동,"풍납2동자치회관(1층, 프로그램실)",서울특별시 송파구 풍성로 28 (풍납동),1층,2026,풍납2동제5투,18706,14392,7652,0.5316842690383546,6,3117.6666666666665,1275.3333333333333,2026_actual,1500,1275.3333333333333,,,,,False,0.8502,GREEN,False
9,20260603,풍납2동제6투,서울특별시,송파구,풍납2동,"토성초등학교(2층, 체육관)",서울특별시 송파구 풍성로20길 44 (풍납동),2층,2026,풍납2동제6투,18706,14392,7652,0.5316842690383546,6,3117.6666666666665,1275.3333333333333,2026_actual,1500,1275.3333333333333,,,,,False,0.8502,GREEN,False
10,20260603,거여1동제1투,서울특별시,송파구,거여1동,"거여1동주민센터(1층, 민원실)",서울특별시 송파구 오금로53길 32 (거여동),1층,2026,거여1동제1투,9896,7989,4159,0.5205908123670047,3,3298.6666666666665,1386.3333333333333,2026_actual,1600,1386.3333333333333,,,,,False,0.8665,GREEN,False
11,20260603,거여1동제2투,서울특별시,송파구,거여1동,"서울영풍초등학교(1층, 꿈빛터)",서울특별시 송파구 오금로57길 15 (거여동),1층,2026,거여1동제2투,9896,7989,4159,0.5205908123670047,3,3298.6666666666665,1386.3333333333333,2026_actual,1600,1386.3333333333333,,,,,False,0.8665,GREEN,False
12,20260603,거여1동제3투,서울특별시,송파구,거여1동,"서울인공지능고등학교(1층, 회의실 및 학부모회 회의실)",서울특별시 송파구 양산로 21 (거여동),1층,2026,거여1동제3투,9896,7989,4159,0.5205908123670047,3,3298.6666666666665,1386.3333333333333,2026_actual,1600,1386.3333333333333,,,,,False,0.8665,GREEN,False
13,20260603,거여2동제1투,서울특별시,송파구,거여2동,"거여2동주민센터(3층, 강당)",서울특별시 송파구 거마로2길 19 (거여동),3층이상,2026,거여2동제1투,18471,15049,8739,0.5807030367466277,5,3694.2,1747.8,2026_actual,1800,1747.8,,,,,False,0.971,YELLOW,False
14,20260603,거여2동제2투,서울특별시,송파구,거여2동,"신아원(1층, 소망관 작업A실)",서울특별시 송파구 양산로8길 17 (거여동),1층,2026,거여2동제2투,18471,15049,8739,0.5807030367466277,5,3694.2,1747.8,2026_actual,1800,1747.8,,,,,False,0.971,YELLOW,False
15,20260603,거여2동제3투,서울특별시,송파구,거여2동,"거여2단지아파트 관리사무소(1층, 회의실)",서울특별시 송파구 양산로8길 24 (거여동),1층,2026,거여2동제3투,18471,15049,8739,0.5807030367466277,5,3694.2,1747.8,2026_actual,1800,1747.8,,,,,False,0.971,YELLOW,False
16,20260603,거여2동제4투,서울특별시,송파구,거여2동,"거원초등학교(본관 1층, 연수실)",서울특별시 송파구 양산로2길 26 (거여동),1층,2026,거여2동제4투,18471,15049,8739,0.5807030367466277,5,3694.2,1747.8,2026_actual,1800,1747.8,,,,,False,0.971,YELLOW,False
17,20260603,거여2동제5투,서울특별시,송파구,거여2동,"송파시그니처롯데캐슬아파트 캐슬리안센터(지하2층, 프로그램1,2실)","서울특별시 송파구 거마로 56 (거여동, 송파시그니처롯데캐슬)",지하,2026,거여2동제5투,18471,15049,8739,0.5807030367466277,5,3694.2,1747.8,2026_actual,1800,1747.8,,,,,False,0.971,YELLOW,False
18,20260603,마천1동제1투,서울특별시,송파구,마천1동,"마천1동주민센터(지하1층, 탁구장)",서울특별시 송파구 마천로 303 (마천동),지하,2026,마천1동제1투,12784,10581,5523,0.5219733484547774,5,2556.8,1104.6,2026_actual,1200,1104.6,,,,,False,0.9205,YELLOW,False
19,20260603,마천1동제2투,서울특별시,송파구,마천1동,"마천초등학교(서관1층, 연수실)",서울특별시 송파구 마천로61다길 24 (마천동),1층,2026,마천1동제2투,12784,10581,5523,0.5219733484547774,5,2556.8,1104.6,2026_actual,1200,1104.6,,,,,False,0.9205,YELLOW,False
20,20260603,마천1동제3투,서울특별시,송파구,마천1동,"마천청소년센터(1층, 드림스타트)",서울특별시 송파구 성내천로 319 (마천동),1층,2026,마천1동제3투,12784,10581,5523,0.5219733484547774,5,2556.8,1104.6,2026_actual,1200,1104.6,,,,,False,0.9205,YELLOW,False
21,20260603,마천1동제4투,서울특별시,송파구,마천1동,"마천초등학교(본관1층, 연계형 아침돌봄교실)",서울특별시 송파구 마천로61다길 24 (마천동),1층,2026,마천1동제4투,12784,10581,5523,0.5219733484547774,5,2556.8,1104.6,2026_actual,1200,1104.6,,,,,False,0.9205,YELLOW,False
22,20260603,마천1동제5투,서울특별시,송파구,마천1동,송파파크데일 2단지아파트 경로당(1층),서울특별시 송파구 성내천로47길 38 (마천동),1층,2026,마천1동제5투,12784,10581,5523,0.5219733484547774,5,2556.8,1104.6,2026_actual,1200,1104.6,,,,,False,0.9205,YELLOW,False
23,20260603,마천2동제1투,서울특별시,송파구,마천2동,"마천2동주민센터(2층, 강의실)",서울특별시 송파구 마천로 287 (마천동),2층,2026,마천2동제1투,15273,12076,6025,0.49892348459754887,4,3818.25,1506.25,2026_actual,1900,1506.25,,,,,False,0.7928,GREEN,False
24,20260603,마천2동제2투,서울특별시,송파구,마천2동,"서울남천초등학교(1층, 신관 무용실)",서울특별시 송파구 성내천로 207 (마천동),1층,2026,마천2동제2투,15273,12076,6025,0.49892348459754887,4,3818.25,1506.25,2026_actual,1900,1506.25,,,,,False,0.7928,GREEN,False
25,20260603,마천2동제3투,서울특별시,송파구,마천2동,"송파구 평생학습원(2층, 강의실)",서울특별시 송파구 마천로35길 12 (마천동),2층,2026,마천2동제3투,15273,12076,6025,0.49892348459754887,4,3818.25,1506.25,2026_actual,1900,1506.25,,,,,False,0.7928,GREEN,False
26,20260603,마천2동제4투,서울특별시,송파구,마천2동,"서울남천초등학교(서관1층, VR스포츠실)",서울특별시 송파구 성내천로 207 (마천동),1층,2026,마천2동제4투,15273,12076,6025,0.49892348459754887,4,3818.25,1506.25,2026_actual,1900,1506.25,,,,,False,0.7928,GREEN,False
27,20260603,방이1동제1투,서울특별시,송파구,방이1동,"방이1동주민센터(2층, 행복누리방)",서울특별시 송파구 위례성대로16길 22 (방이동),2층,2026,방이1동제1투,12181,9651,5424,0.5620142990363692,3,4060.3333333333335,1808.0,2026_actual,2000,1808.0,,,,,False,0.904,YELLOW,False
28,20260603,방이1동제2투,서울특별시,송파구,방이1동,"방이초등학교(2층, 오름교육관)",서울특별시 송파구 위례성대로10길 4 (방이동),2층,2026,방이1동제2투,12181,9651,5424,0.5620142990363692,3,4060.3333333333335,1808.0,2026_actual,2000,1808.0,,,,,False,0.904,YELLOW,False
29,20260603,방이1동제3투,서울특별시,송파구,방이1동,"방산중학교(1층, 꿈누리관)",서울특별시 송파구 오금로29길 31 (방이동),1층,2026,방이1동제3투,12181,9651,5424,0.5620142990363692,3,4060.3333333333335,1808.0,2026_actual,2000,1808.0,,,,,False,0.904,YELLOW,False
