시도,구시군,선거종류,선거구코드,선거구명,당선인수,경계당선자,경계당선자득표,첫낙선자,첫낙선자득표,당선권경계표차,추가송부투표소수,공개투표소명수,확인된중단수,검토등급,해석제한,출처URL
경상남도,남해군,기초의원,6481601,남해군가선거구,3,여동찬,1872,장행복,1867,5,1,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
부산광역시,북구,광역의원,5260801,북구제1선거구,1,강영두,19351,문영남,19325,26,2,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
경상남도,함안군,기초의원,6481203,함안군다선거구,4,곽세훈,2552,배재성,2517,35,3,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
서울특별시,광진구,기초의원,6110503,광진구다선거구,3,김강산,9151,이정열,9078,73,3,1,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
서울특별시,송파구,기초의원,6112401,송파구가선거구,3,김서윤,8886,윤영한,8784,102,15,8,1,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
서울특별시,동작구,광역의원,5112003,동작구제3선거구,1,노성철,27818,이수연,27669,149,1,1,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
울산광역시,북구,기초의원,6310403,북구다선거구,3,김지현,4167,손옥선,4011,156,1,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
부산광역시,동구,기초의원,6260302,동구나선거구,3,허근형,3258,고창식,3045,213,1,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
부산광역시,중구,기초의원,6260102,중구나선거구,3,이인구,1821,강인규,1603,218,1,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
인천광역시,연수구,광역의원,5280401,연수구제1선거구,1,정해권,15296,장시춘,15032,264,6,2,2,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
울산광역시,중구,광역의원,5310104,중구제4선거구,1,강혜순,9528,손명희,9262,266,1,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
부산광역시,남구,광역의원,5260703,남구제3선거구,1,성현달,13373,박구슬,13092,281,1,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
대구광역시,달서구,기초의원,6270706,달서구바선거구,3,곽병희,6131,김장관,5813,318,2,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
대구광역시,남구,기초의원,6270401,남구가선거구,3,함광식,4435,전주현,4060,375,1,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
대구광역시,동구,기초의원,6270202,동구나선거구,3,김영화,3560,이동훈,3168,392,1,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
서울특별시,서초구,기초의원,6112202,서초구나선거구,3,김안숙,6421,이화성,5992,429,2,2,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
부산광역시,중구,기초의원,6260101,중구가선거구,3,금동욱,1714,최학철,1272,442,1,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
부산광역시,남구,기초의원,6260705,남구마선거구,3,고선화,9492,이재호,9038,454,1,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
경상남도,통영시,기초의원,6480502,통영시나선거구,3,신익화,3671,노성진,3209,462,1,0,0,우선검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
경상남도,함안군,기초의원,6481202,함안군나선거구,2,조만제,1363,정유돈,806,557,3,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
경상남도,남해군,기초의원,6481603,남해군다선거구,2,박종식,1821,박종길,1254,567,1,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
경상남도,통영시,기초의원,6480503,통영시다선거구,2,김순덕,2655,신철기,2072,583,1,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
경상남도,남해군,기초의원,6481602,남해군나선거구,2,박삼준,1536,정영란,949,587,1,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
경상남도,남해군,기초의원,6481604,남해군라선거구,2,김진실,2591,임태식,1968,623,1,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
부산광역시,북구,기초의원,6260801,북구가선거구,3,김효원,6245,김정방,5612,633,2,0,0,검토,부족 투표소가 해당 선거구에 속하는지는 투표소명 또는 읍면동이 공개된 경우에만 별도 확인 필요,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
