시도코드,시도,구시군코드,구시군,읍면동명,투표구번호,ps_name_key,ps_name_key_alt,placeName,addr,확정선거인수,확정_50pct_기준장수,확정_60pct_기준장수,확정_70pct_기준장수,확정_선거인수_전국분위,확정_선거인수_구시군분위,확정_선거인수_동분위,동_실제투표수,추정_투표소비율,추정_선거일투표수,추정_50pct초과여부,추정_배부기준대비초과량,추정값_주의,라벨_부족확인,라벨_투표중단,라벨_부족구시군
4400,충청남도,4416,당진시,당진1동,제5투,당진1동제5투,,"수청중학교(2층, 청솔관)",충청남도 당진시 수청3로 42 (수청동),8457.0,4228,5074,5919,1.0,1.0,1.0,11088,0.2573,2853.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
4800,경상남도,4808,김해시,장유1동,제8투,장유1동제8투,,장유중학교 체육관(1층),경상남도 김해시 장유로 420 (신문동),8004.0,4002,4802,5602,0.9999,1.0,1.0,21982,0.1362,2994.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
4100,경기도,4135,용인시처인구,유림2동,제5투,유림2동제5투,,"고림고등학교(A동1층, 학교운영위원회실)",경기도 용인시 처인구 고림로 165 (고림동),7833.0,3916,4699,5483,0.9998,1.0,1.0,11238,0.2516,2827.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
4100,경기도,4126,남양주시,다산2동,제1투,다산2동제1투,다산2동투표소,"다산2동주민센터(4층, 대회의실)",경기도 남양주시 다산지금로16번길 75 (다산동),7784.0,3892,4670,5448,0.9998,1.0,1.0,12203,0.2639,3220.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
4300,충청북도,4304,제천시,교동,제2투,교동제2투,,"삼척중앙초등학교 교사 3동(2층, 다목적실)",강원특별자치도 삼척시 새천년도로 630-121 (갈천동),7635.0,3817,4581,5344,0.9997,1.0,1.0,5807,0.4514,2621.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
4400,충청남도,4406,태안군,태안읍,제7투,태안읍제7투,,"태안읍행정복지센터(태안읍사무소, 1층, 회의실)",충청남도 태안군 태안읍 백화로 54,7544.0,3772,4526,5280,0.9996,1.0,1.0,9076,0.3182,2888.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
4100,경기도,4131,하남시,미사1동,제8투,미사1동제8투,,"하남종합운동장(2층, 다목적체육관)",경기도 하남시 아리수로 600 (망월동),7515.0,3757,4509,5260,0.9995,1.0,1.0,16483,0.1618,2667.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
4100,경기도,4135,용인시처인구,모현읍,제7투,모현읍제7투,,"도현초중통합학교(본관1층, 로비)",경기도 용인시 처인구 모현읍 왕산로 15 (왕산리),7453.0,3726,4471,5217,0.9994,0.9787,1.0,10447,0.2487,2598.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
4100,경기도,4140,광주시,탄벌동,제5투,탄벌동제5투,,회덕1통 마을회관(1층),경기도 광주시 회덕길 1 (회덕동),7445.0,3722,4467,5211,0.9993,1.0,1.0,12242,0.1982,2426.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
5300,전북특별자치도,5310,완주군,삼례읍,제4투,삼례읍제4투,,"삼례동초등학교(1층, 현관)",전북특별자치도 완주군 삼례읍 삼봉4로 9,7443.0,3721,4465,5210,0.9993,1.0,1.0,5297,0.3935,2084.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
4800,경상남도,4808,김해시,장유1동,제10투,장유1동제10투,,"신문초등학교(1층, 다목적실)",경상남도 김해시 신문1로 10 (신문동),7427.0,3713,4456,5198,0.9992,0.9913,0.9,21982,0.1264,2779.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
4100,경기도,4156,화성시동탄구,동탄7동,제5투,동탄7동제5투,,"이솔고등학교(1층, 로비)",경기도 화성시 동탄구 동탄순환대로7길 10 (산척동),7424.0,3712,4454,5196,0.9991,1.0,1.0,16615,0.1681,2793.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
4100,경기도,4135,용인시처인구,역북동,제3투,역북동제3투,,"용인고등학교(본관1층, 가정과학실)",경기도 용인시 처인구 금학로253번길 20-21 (역북동),7420.0,3710,4452,5194,0.999,0.9574,1.0,9738,0.2543,2476.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
2800,인천광역시,2807,계양구,작전2동,제5투,작전2동제5투,,"힐스테이트자이계양(1층, 커뮤니티센터 도서관)","인천광역시 계양구 봉오대로651번길 9 (작전동, 힐스테이트자이계양)",7400.0,3700,4440,5180,0.9989,1.0,1.0,7780,0.3535,2750.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
1100,서울특별시,1121,관악구,대학동,제1투,대학동제1투,대학동투표소,"대학동주민센터(지하1층, 옥내주차장)",서울특별시 관악구 신림로 111 (신림동),7395.0,3697,4437,5176,0.9988,1.0,1.0,7378,0.3078,2271.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
1100,서울특별시,1116,강서구,등촌제1동,제3투,등촌제1동제3투,,"등촌1동주민센터(3층, 다목적실)",서울특별시 강서구 공항대로53가길 55 (등촌동),7375.0,3687,4425,5162,0.9988,1.0,1.0,8084,0.3218,2601.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,True
4100,경기도,4156,화성시동탄구,동탄9동,제9투,동탄9동제9투,,"화성바른초등학교(1층, 다목적실1)",경기도 화성시 동탄구 동탄신동5길 7 (신동),7308.0,3654,4384,5115,0.9987,0.9841,1.0,17945,0.1603,2877.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
4800,경상남도,4810,거제시,상문동,제3투,상문동제3투,,"상문동주민센터(3층, 대회의실)",경상남도 거제시 거제중앙로 1641 (상동동),7307.0,3653,4384,5114,0.9986,1.0,1.0,8961,0.2794,2504.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
5200,강원특별자치도,5202,원주시,반곡관설동,제4투,반곡관설동제4투,,"반곡중학교(2층, 체육관)",강원특별자치도 원주시 동부순환로 225 (반곡동),7298.0,3649,4378,5108,0.9985,1.0,1.0,15021,0.2482,3728.0,True,79.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,False,False,False
